"action","old_path","new_path","sha256","bytes","reason"
"moved","trixig redesign/trixig_print/trixig_buildplate.stl_12.stl","cad/print/trixig_redesign/trixig_buildplate_stl_12.stl","5bba9a2b6faad692d7a0922dd50af11f38034e5a2c77f037c64ce54ac676a7a0","76284","move_print_asset"
"moved","trixig redesign/trixig_print/trixig_buildplate.stl_13.stl","cad/print/trixig_redesign/trixig_buildplate_stl_13.stl","012196c0e7d615f6565be9db29cb3144ac00c40c9a4d647fe54424a7c1222ae4","31584","move_print_asset"
"moved","trixig redesign/trixig_print/trixig_buildplate.stl_14.stl","cad/print/trixig_redesign/trixig_buildplate_stl_14.stl","f1ee11c8a42fb4111e2e057652f46536c9286f03c02846d13ccbbf26e2907310","31884","move_print_asset"
"moved","trixig redesign/trixig_print/trixig_buildplate.stl_15.stl","cad/print/trixig_redesign/trixig_buildplate_stl_15.stl","2d1bb00ffd60d63d9907b1f809c04b04b50fdf464048f5fd022b54d6c33bb2a7","31584","move_print_asset"
"moved","trixig redesign/trixig_print/trixig_buildplate.stl_16.stl","cad/print/trixig_redesign/trixig_buildplate_stl_16.stl","8c49e7d4f46f77ffce5d888bb2761b9ff14c151b3d07a023a4c978a3eed58eba","31384","move_print_asset"
"moved","trixig redesign/trixig_print/trixig_buildplate.stl_17.stl","cad/print/trixig_redesign/trixig_buildplate_stl_17.stl","a35b416d638547cf7da04a5b06fa8634cbc6ef0af80c855c3b025d87d57a813c","31484","move_print_asset"
"moved","trixig redesign/trixig_print/trixig_buildplate.stl_18.stl","cad/print/trixig_redesign/trixig_buildplate_stl_18.stl","728db28b10036754ce0a1b903c0ec39e332c5eec3d4334286452b0d3c24487a9","32084","move_print_asset"
"moved","trixig redesign/trixig_print/trixig_buildplate.stl_19.stl","cad/print/trixig_redesign/trixig_buildplate_stl_19.stl","f22726520180741e5c87022659626b90008ac2f0e99c427db5130cfd3462e87c","28884","move_print_asset"
"moved","trixig redesign/trixig_print/trixig_buildplate.stl_20.stl","cad/print/trixig_redesign/trixig_buildplate_stl_20.stl","a1dc8d1caa01a2e220c5c3af99d0e349bf6bb720146dbdf0b8b8ae376dd038d9","38484","move_print_asset"
"moved","trixig redesign/trixig_print/trixig_buildplate.stl_21.stl","cad/print/trixig_redesign/trixig_buildplate_stl_21.stl","221ec0d82a8ff3b298579a638824ca47450a1edb8f27e5f2a6e2c8977de40fa6","3284","move_print_asset"
"moved","trixig redesign/g/9723b038-5f1b-4b30-bc3e-9a1ba32cc62c.jpg","assets/generated/trixig_redesign/trixig_redesign_032.jpg","68ea2b619c04a458afb6cf92bab8714450faab95d6c1f4cbccff88d03de3d604","69939","move_redesign_graphic"
"moved","trixig redesign/trixig_print/for_bambu/housing_top_tip.stl","cad/print/trixig_redesign/for_bambu/housing_top_tip.stl","1d10b4a17ba948359c0c11ed7444ba4c9555a51b0ed41019e4e5b344820c25f6","35884","move_print_asset"
"moved","trixig redesign/trixig_print/trixig_buildplate.stl_3_A.stl","cad/print/trixig_redesign/trixig_buildplate_stl_3_a.stl","1b49ad7026ee3cd8b2772fd9e67d9f2aad2884c835c9d1962b1d92edb0975eb5","469284","move_print_asset"
"moved","trixig redesign/trixig_print/trixig_buildplate.stl_3_B.stl","cad/print/trixig_redesign/trixig_buildplate_stl_3_b.stl","5a6c7884dba7241c9fb42cb2374f61e01f3ec45457a92eb3adc749d2999f09c6","1279384","move_print_asset"
"moved","trixig redesign/trixig_print/for_bambu/bit_holder_cover.stl","cad/print/trixig_redesign/for_bambu/bit_holder_cover.stl","5c6b584d73222d3c14a02dae35ae7d89296de9d1569de24739aa89c95b342ad5","38484","move_print_asset"
